Cycle;Classe;Matière;Chapitre;Sous-chapitre (Titre);Type;Nombre de questions;Lien (href)
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Identifier le type de texte (narratif, descriptif, injonctif, etc.);Cours;;/cours/identifier-le-type-de-texte-narratif-descriptif-injonctif-etc-77x9?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les informations importantes dans un texte, repérer les mots-clés;Cours;;/cours/reperer-les-informations-importantes-dans-un-texte-reperer-les-mots-cles-58og?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre l’ordre des actions ou événements;Cours;;/cours/comprendre-l-ordre-des-actions-ou-evenements-2ftu?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les connecteurs logiques et temporels;Cours;;/cours/reperer-les-connecteurs-logiques-et-temporels-p1kq?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre le sens d’un mot inconnu grâce au contexte;Cours;;/cours/comprendre-le-sens-d-un-mot-inconnu-grace-au-contexte-dud7?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Résumer un texte ou un paragraphe court;Cours;;/cours/resumer-un-texte-ou-un-paragraphe-court-y2at?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Repérer les éléments descriptifs d’un texte;Cours;;/cours/reperer-les-elements-descriptifs-d-un-texte-jh6z?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre un texte narratif;Quiz;5;/test/comprendre-un-texte-narratif?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Étudier un texte documentaire;Quiz;5;/test/etudier-un-texte-documentaire?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Comprendre l'ordre des actions dans un texte;Quiz;5;/test/comprendre-l-ordre-des-actions-dans-un-texte?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Les mots de liaison;Quiz;5;/test/les-mots-de-liaison?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Le sens propre et le sens figuré;Quiz;5;/test/le-sens-propre-et-le-sens-figure?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;Résumer un paragraphe;Quiz;5;/test/resumer-un-paragraphe?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Lecture et compréhension de l’écrit;La description;Quiz;5;/test/la-description?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Clecture-et-comprehension-de-l-ecrit
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer les types de phrases (déclarative, interrogative, exclamative, injonctive);Cours;;/cours/distinguer-les-types-de-phrases-declarative-interrogative-exclamative-injonctive-3qol?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer une phrase simple d’une phrase complexe;Cours;;/cours/distinguer-une-phrase-simple-d-une-phrase-complexe-ckjo?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le verbe, le nom et les prépositions;Cours;;/cours/identifier-le-verbe-le-nom-et-les-prepositions-qkek?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le COD et le COI;Cours;;/cours/identifier-le-cod-et-le-coi-4p7v?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Distinguer les compléments circonstanciels;Cours;;/cours/distinguer-les-complements-circonstanciels-cpyy?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le sujet dans une phrase simple ou complexe (y compris inversé);Cours;;/cours/identifier-le-sujet-dans-une-phrase-simple-ou-complexe-y-compris-inverse-98wa?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier le complément de nom au sein du groupe nominal;Cours;;/cours/identifier-le-complement-de-nom-au-sein-du-groupe-nominal-608s?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier l’épithète au sein du groupe nominal;Cours;;/cours/identifier-l-epithete-au-sein-du-groupe-nominal-6yef?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Identifier l’attribut du sujet;Cours;;/cours/identifier-l-attribut-du-sujet-lkba?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les types et les formes de phrases;Quiz;5;/test/les-types-et-les-formes-de-phrases-2?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Phrase simple et phrase complexe;Quiz;5;/test/phrase-simple-et-phrase-complexe-1?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
Primaire;CM2;FRANÇAIS;Grammaire;Les catégories de mots;Quiz;5;/test/les-categories-de-mots?srcpath=%2Cfr%2Cprimaire%2Ccm2%2Cfrancais%2Cgrammaire
